"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"3420",3420,3420,3420,3420,3420,3420,3420,"40014","White County Medical Center","3214 East Race Avenue","Searcy","AR",72143,"White","(501) 278-3100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-91.696758,35.250446,"medicare","N"
"3421",3421,3421,3421,3421,3421,3421,3421,"51305","Mayers Memorial Hospital","43563 Hwy 299 East","Fall River Mills","CA",96028,"Shasta","(530) 336-5511","Critical Access Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,-121.424651,41.023968,"medicare","N"
"3422",3422,3422,3422,3422,3422,3422,3422,"461307","Heber Valley Hospital","1485 South Highway 40","Heber City","UT",84032,"Wasatch","(435) 654-2500","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-111.409218,40.489047,"medicare","N"
"3423",3423,3423,3423,3423,3423,3423,3423,"281354","Crete Area Medical Center","P O Box 220, 2910 Betten Dr","Crete","NE",68333,"Saline","(402) 826-2101","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,NA,NA,"medicare","N"
"3424",3424,3424,3424,3424,3424,3424,3424,"501339","Whidbeyhealth Medical Center","101 North Main Street","Coupeville","WA",98239,"Island","(360) 678-5151","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-122.686122,48.21424,"medicare","N"
"3425",3425,3425,3425,3425,3425,3425,3425,"50189","George L Mee Memorial Hospital","300 Canal Street","King City","CA",93930,"Monterey","(831) 385-6000","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-121.132137,36.206819,"medicare","N"
"3426",3426,3426,3426,3426,3426,3426,3426,"100290","Villages Regional Hospital, The","1451 El Camino Real","The Villages","FL",32159,"Lake","(352) 751-8000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-81.958131,28.94944,"medicare","N"
"3427",3427,3427,3427,3427,3427,3427,3427,"50008","California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Avenue","San Francisco","CA",94117,"San Francisco","(415) 600-6000","Acute Care Hospitals","Voluntary non-profit - Other",FALSE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-122.434696,37.769114,"medicare","N"
"3428",3428,3428,3428,3428,3428,3428,3428,"230013","Pontiac General Hospital","461 W Huron St","Pontiac","MI",48341,"Oakland","(248) 857-7200","Acute Care Hospitals","Proprietary",FALSE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,-83.309475,42.635679,"medicare","N"
"3429",3429,3429,3429,3429,3429,3429,3429,"390112","Chan Soon- Shiong Medical Center At Windber","600 Somerset Avenue","Windber","PA",15963,"Somerset","(814) 467-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"4",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-78.837917,40.242123,"medicare","N"
"3430",3430,3430,3430,3430,3430,3430,3430,"30030","Abrazo Central Campus","2000 West Bethany Home Road","Phoenix","AZ",85015,"Maricopa","(602) 249-0212","Acute Care Hospitals","Physician",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-112.101934,33.524116,"medicare","N"
"3431",3431,3431,3431,3431,3431,3431,3431,"330218","Oswego Hospital","110 West Sixth Street","Oswego","NY",13126,"Oswego","(315) 349-5511","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-76.516001,43.454141,"medicare","N"
"3432",3432,3432,3432,3432,3432,3432,3432,"110129","St Francis Hospital","2122 Manchester Expressway","Columbus","GA",31995,"Muscogee","(706) 596-4020","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-84.961378,32.506927,"medicare","N"
"3433",3433,3433,3433,3433,3433,3433,3433,"270023","Community Medical Center","2827 Fort Missoula Rd","Missoula","MT",59804,"Missoula","(406) 728-4100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-114.055919,46.842062,"medicare","N"
"3434",3434,3434,3434,3434,3434,3434,3434,"301311","Speare Memorial Hospital","16 Hospital Road","Plymouth","NH",3264,"Grafton","(603) 536-1120","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-71.694837,43.757886,"medicare","N"
"3435",3435,3435,3435,3435,3435,3435,3435,"50726","Stanislaus Surgical Hospital","1421 Oakdale Road","Modesto","CA",95355,"Stanislaus","(209) 572-2700","Acute Care Hospitals","Proprietary",FALSE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Not Available",16,"Same as the national average",NA,-120.957516,37.664558,"medicare","N"
"3436",3436,3436,3436,3436,3436,3436,3436,"171302","Oswego Community Hospital","800 Barker Drive","Oswego","KS",67356,"Labette","(620) 795-2921","Critical Access Hospitals","Proprietary",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,-95.11077,37.159673,"medicare","N"
"3437",3437,3437,3437,3437,3437,3437,3437,"250058","South Central Reg Med Ctr","1220 Jefferson St Box 607","Laurel","MS",39440,"Jones","(601) 426-4000","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-89.14135,31.685911,"medicare","N"
"3438",3438,3438,3438,3438,3438,3438,3438,"220090","Milford Regional Medical Center","14 Prospect Street","Milford","MA",1757,"Worcester","(508) 473-1190","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"3",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-71.529014,42.132835,"medicare","N"
"3439",3439,3439,3439,3439,3439,3439,3439,"100321","Ascension St Vincent's Clay County","1670 St Vincents Way","Middleburg","FL",32068,"Clay","(904) 602-1000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-81.831298,30.111135,"medicare","N"
"3440",3440,3440,3440,3440,3440,3440,3440,"261314","Hermann Area District Hospital","509 W 18th St","Hermann","MO",65041,"Gasconade","(573) 486-2191","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,-91.448615,38.692309,"medicare","N"
"3441",3441,3441,3441,3441,3441,3441,3441,"141348","Red Bud Regional Hospital","325 Spring Street","Red Bud","IL",62278,"Randolph","(618) 282-3831","Critical Access Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-89.996408,38.209605,"medicare","N"
"3442",3442,3442,3442,3442,3442,3442,3442,"490115","Twin County Regional Hospital","200 Hospital Drive","Galax","VA",24333,"Galax City","(276) 236-8181","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-80.923814,36.671813,"medicare","N"
"3443",3443,3443,3443,3443,3443,3443,3443,"251303","Stone County Hospital","1434 East Central Avenue","Wiggins","MS",39577,"Stone","(601) 928-6600","Critical Access Hospitals","Proprietary",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Below the national average",NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,-89.115202,30.845646,"medicare","N"
"3444",3444,3444,3444,3444,3444,3444,3444,"190202","Ochsner Medical Center - Baton Rouge","17000 Medical Center Dr","Baton Rouge","LA",70816,"E. Baton Rouge","(225) 752-2470","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-91.001513,30.440994,"medicare","N"
"3445",3445,3445,3445,3445,3445,3445,3445,"340042","Onslow Memorial Hospital","317 Western Boulevard","Jacksonville","NC",28540,"Onslow","(910) 577-2345","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"2",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-77.382571,34.762285,"medicare","N"
"3446",3446,3446,3446,3446,3446,3446,3446,"331319","Medina Memorial Hospital","200 Ohio Street","Medina","NY",14103,"Orleans","(585) 798-8111","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Not Available",5,-78.397073,43.223707,"medicare","N"
"3447",3447,3447,3447,3447,3447,3447,3447,"44019","Springwoods Behavioral Health Services","1955 West Trucker's Drive","Fayetteville","AR",72704,"Washington","(479) 973-6000","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-94.185989,36.109081,"medicare","N"
"3448",3448,3448,3448,3448,3448,3448,3448,"150034","St Mary Medical Center Inc","1500 S Lake Park Ave","Hobart","IN",46342,"Lake","(219) 942-0551","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-87.258902,41.512654,"medicare","N"
"3449",3449,3449,3449,3449,3449,3449,3449,"370014","Alliancehealth Durant","1800 University Boulevard","Durant","OK",74702,"Bryan","(405) 924-3080","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-96.395055,34.004903,"medicare","N"
"3450",3450,3450,3450,3450,3450,3450,3450,"334027","South Oaks Hosp","400 Sunrise Highway","Amityville","NY",11701,"Suffolk","(516) 264-4000","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-73.423128,40.686843,"medicare","Y"
"3451",3451,3451,3451,3451,3451,3451,3451,"324010","Bhc Mesilla Valley Hospital, Llc","3751 Del Rey Boulevard","Las Cruces","NM",88012,"Dona Ana","(575) 382-3500","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-106.771156,32.357146,"medicare","N"
"3452",3452,3452,3452,3452,3452,3452,3452,"451377","Reeves County Hospital District","2323 Texas Street","Pecos","TX",79772,"Reeves","(432) 447-3551","Critical Access Hospitals","Government - Local",TRUE,NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Below the national average",NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,-103.512831,31.401575,"medicare","N"
